date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:25:43	67/67	---MC-	200	added ('OK')	text/plain	date:Sun,%2006%20Jun%202021%2016:25:44%20GMT	https://bep20lottery.com/robots.txt		(from )
18:25:43	49129/49129	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Jun%202021%2016:25:44%20GMT	https://bep20lottery.com/	C:/My%20Web%20Sites/bet/bep20lottery.com/index.html	(from )
18:25:43	58171/58171	---M--	200	added ('OK')	text/css	date:Tue,%2006%20Apr%202021%2023:50:28%20GMT	https://bep20lottery.com/wp-includes/css/dist/block-library/style.min.css?ver=5.7.2	C:/My%20Web%20Sites/bet/bep20lottery.com/wp-includes/css/dist/block-library/style.min9f31.css	(from https://bep20lottery.com/)
18:25:44	9792/9792	---MC-	200	added ('OK')	application/rss+xml	etag:%22f6c993a06992ad15cce4a9f12e9f03bc%22	https://bep20lottery.com/feed/	C:/My%20Web%20Sites/bet/bep20lottery.com/feed/index.html	(from https://bep20lottery.com/)
18:25:44	2714/2714	---M--	200	added ('OK')	text/css	date:Tue,%2002%20Feb%202021%2005:17:13%20GMT	https://bep20lottery.com/wp-includes/css/dist/block-library/theme.min.css?ver=5.7.2	C:/My%20Web%20Sites/bet/bep20lottery.com/wp-includes/css/dist/block-library/theme.min9f31.css	(from https://bep20lottery.com/)
18:25:44	765/765	---MC-	200	added ('OK')	application/rss+xml	etag:%222905ba493458a5880bdc57379c77f00d%22	https://bep20lottery.com/comments/feed/	C:/My%20Web%20Sites/bet/bep20lottery.com/comments/feed/index.html	(from https://bep20lottery.com/)
18:25:44	155185/155185	---M--	200	added ('OK')	text/css	date:Wed,%2014%20Apr%202021%2000:00:05%20GMT	https://bep20lottery.com/wp-content/themes/twentytwentyone/style.css?ver=1.3	C:/My%20Web%20Sites/bet/bep20lottery.com/wp-content/themes/twentytwentyone/style4e44.css	(from https://bep20lottery.com/)
18:25:44	2897/2897	---M--	200	added ('OK')	text/css	date:Thu,%2012%20Nov%202020%2018:36:15%20GMT	https://bep20lottery.com/wp-content/themes/twentytwentyone/assets/css/print.css?ver=1.3	C:/My%20Web%20Sites/bet/bep20lottery.com/wp-content/themes/twentytwentyone/assets/css/print4e44.css	(from https://bep20lottery.com/)
18:25:44	2753/2753	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Feb%202021%2020:17:04%20GMT	https://bep20lottery.com/wp-content/themes/twentytwentyone/assets/css/style-dark-mode.css?ver=1.3	C:/My%20Web%20Sites/bet/bep20lottery.com/wp-content/themes/twentytwentyone/assets/css/style-dark-mode4e44.css	(from https://bep20lottery.com/)
18:25:45	3573/3573	---MC-	200	added ('OK')	application/json	date:Sun,%2006%20Jun%202021%2016:25:46%20GMT	https://bep20lottery.com/wp-json/wp/v2/pages/38	C:/My%20Web%20Sites/bet/bep20lottery.com/wp-json/wp/v2/pages/38.json	(from https://bep20lottery.com/)
18:25:45	810/810	---M--	200	added ('OK')	text/xml	date:Sun,%2006%20Jun%202021%2016:25:46%20GMT	https://bep20lottery.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/bet/bep20lottery.com/xmlrpc0db0.php	(from https://bep20lottery.com/)
18:25:45	102612/102612	---MC-	200	added ('OK')	application/json	date:Sun,%2006%20Jun%202021%2016:25:46%20GMT	https://bep20lottery.com/wp-json/	C:/My%20Web%20Sites/bet/bep20lottery.com/wp-json/index.html	(from https://bep20lottery.com/)
